review_product_id,keyword,frequency
A000000006564,올인원,397
A000000006564,남성 피부,360
A000000006564,재구매,301
A000000006564,선물,180
A000000006564,순함,157
A000000006565,올인원,435
A000000006565,재구매,417
A000000006565,남성 피부,414
A000000006565,순함,204
A000000006565,정착템,179
A000000011086,남성 피부,203
A000000011086,향,176
A000000011086,재구매,174
A000000011086,올인원,153
A000000011086,순함,118
A000000011087,향,59
A000000011087,재구매,43
A000000011087,선물,36
A000000011087,남성 피부,36
A000000011087,순함,28
A000000011088,남성 피부,37
A000000011088,재구매,30
A000000011088,촉촉,24
A000000011088,순함,23
A000000011088,끈적임 없음,23
A000000012809,순함,626
A000000012809,보습,389
A000000012809,재구매,387
A000000012809,촉촉,251
A000000012809,건성,247
A000000015971,남성 피부,327
A000000015971,올인원,276
A000000015971,재구매,225
A000000015971,선물,144
A000000015971,순함,138
A000000016749,향,362
A000000016749,남성 피부,362
A000000016749,재구매,253
A000000016749,선물,203
A000000016749,순함,185
A000000103320,순함,116
A000000103320,재구매,85
A000000103320,보습,55
A000000103320,가벼움,52
A000000103320,지성,47
A000000104146,재구매,4
A000000104146,여드름,3
A000000104146,순함,3
A000000104146,수분,2
A000000104146,향,1
A000000104173,재구매,306
A000000104173,순함,298
A000000104173,보습,262
A000000104173,빠른 흡수,171
A000000104173,촉촉,155
A000000104176,재구매,330
A000000104176,순함,266
A000000104176,보습,233
A000000104176,빠른 흡수,175
A000000104176,촉촉,144
A000000104972,보습,5
A000000104972,재구매,4
A000000104972,촉촉,3
A000000104972,순함,3
A000000104972,선물,3
A000000107837,향,3
A000000107837,빠른 흡수,2
A000000107837,끈적임 없음,2
A000000107837,재구매,1
A000000107837,무향,1
A000000115386,여름,13
A000000115386,보습,13
A000000115386,건성,12
A000000115386,재구매,10
A000000115386,순함,10
A000000115419,순함,185
A000000115419,재구매,141
A000000115419,지성,111
A000000115419,진정,109
A000000115419,여름,107
A000000116601,순함,65
A000000116601,재구매,43
A000000116601,향,28
A000000116601,빠른 흡수,22
A000000116601,촉촉,20
A000000117541,올인원,473
A000000117541,재구매,370
A000000117541,남성 피부,365
A000000117541,순함,202
A000000117541,보습,198
A000000121268,순함,755
A000000121268,재구매,277
A000000121268,가벼움,196
A000000121268,보습,166
A000000121268,촉촉,164
A000000122212,올인원,113
A000000122212,남성 피부,96
A000000122212,향,76
A000000122212,보습,72
A000000122212,선물,64
A000000125841,남성 피부,8
A000000125841,올인원,5
A000000125841,재구매,4
A000000125841,인생템,3
A000000125841,추천템,2
A000000125845,크림 제형,2
A000000125845,진정,2
A000000125845,선물,2
A000000125845,보습,2
A000000125845,남성 피부,2
A000000128322,재구매,97
A000000128322,여드름,88
A000000128322,진정,73
A000000128322,순함,64
A000000128322,트러블성,48
A000000129771,순함,538
A000000129771,보습,300
A000000129771,진정,286
A000000129771,재구매,266
A000000129771,촉촉,203
A000000130809,재구매,6
A000000130809,향,3
A000000130809,트러블성,2
A000000130809,올인원,2
A000000130809,선물,2
A000000137078,순함,739
A000000137078,재구매,298
A000000137078,가벼움,197
A000000137078,보습,193
A000000137078,수분,156
A000000137386,올인원,173
A000000137386,남성 피부,142
A000000137386,순함,111
A000000137386,선물,110
A000000137386,재구매,83
A000000137470,올인원,19
A000000137470,순함,11
A000000137470,향,10
A000000137470,보습,9
A000000137470,촉촉,8
A000000137488,재구매,162
A000000137488,선물,156
A000000137488,남성 피부,149
A000000137488,올인원,145
A000000137488,추천템,82
A000000137652,남성 피부,128
A000000137652,향,125
A000000137652,선물,86
A000000137652,순함,84
A000000137652,재구매,79
A000000137834,재구매,31
A000000137834,순함,30
A000000137834,보습,23
A000000137834,촉촉,17
A000000137834,수분,15
A000000140891,진정,188
A000000140891,순함,106
A000000140891,탄력,96
A000000140891,끈적임 없음,83
A000000140891,남성 피부,70
A000000141309,순함,84
A000000141309,빠른 흡수,59
A000000141309,보습,59
A000000141309,추천템,45
A000000141309,재구매,42
A000000141317,추천템,69
A000000141317,순함,26
A000000141317,촉촉,25
A000000141317,재구매,23
A000000141317,보습,18
A000000142618,촉촉,6
A000000142618,수분,6
A000000142618,추천템,5
A000000142618,순함,5
A000000142618,선물,5
A000000143196,남성 피부,169
A000000143196,향,145
A000000143196,선물,127
A000000143196,재구매,92
A000000143196,순함,84
A000000143973,레이어링 우수,323
A000000143973,추천템,196
A000000143973,순함,175
A000000143973,미백,167
A000000143973,재구매,127
A000000144036,재구매,19
A000000144036,순함,13
A000000144036,매끈해짐,13
A000000144036,트러블성,11
A000000144036,부드러워짐,7
A000000144041,지성,16
A000000144041,번들거림 없음,15
A000000144041,순함,14
A000000144041,오일컨트롤,13
A000000144041,재구매,11
A000000144618,올인원,206
A000000144618,향,166
A000000144618,선물,158
A000000144618,남성 피부,155
A000000144618,순함,116
A000000144803,순함,58
A000000144803,촉촉,50
A000000144803,수분,40
A000000144803,산뜻,29
A000000144803,끈적임 없음,28
A000000144917,순함,346
A000000144917,보습,289
A000000144917,재구매,257
A000000144917,촉촉,225
A000000144917,건성,164
A000000145576,순함,828
A000000145576,보습,281
A000000145576,재구매,278
A000000145576,촉촉,232
A000000145576,추천템,198
A000000145835,순함,42
A000000145835,재구매,26
A000000145835,보습,25
A000000145835,추천템,21
A000000145835,올인원,20
A000000145838,순함,431
A000000145838,올인원,340
A000000145838,남성 피부,260
A000000145838,선물,209
A000000145838,재구매,183
A000000145840,순함,482
A000000145840,올인원,370
A000000145840,진정,305
A000000145840,남성 피부,272
A000000145840,재구매,244
A000000146263,보습,94
A000000146263,재구매,80
A000000146263,촉촉,71
A000000146263,건성,67
A000000146263,겨울,55
A000000146808,올인원,22
A000000146808,남성 피부,18
A000000146808,향,14
A000000146808,재구매,10
A000000146808,순함,10
A000000146896,남성 피부,9
A000000146896,올인원,8
A000000146896,향,6
A000000146896,재구매,5
A000000146896,추천템,3
A000000147577,향,9
A000000147577,진정,9
A000000147577,선물,6
A000000147577,남성 피부,6
A000000147577,올인원,5
A000000147661,남성 피부,96
A000000147661,향,62
A000000147661,순함,55
A000000147661,선물,44
A000000147661,추천템,38
A000000148729,순함,298
A000000148729,재구매,105
A000000148729,추천템,100
A000000148729,매끈해짐,57
A000000148729,빠른 흡수,45
A000000149211,올인원,278
A000000149211,선물,197
A000000149211,남성 피부,197
A000000149211,재구매,154
A000000149211,향,129
A000000149214,남성 피부,143
A000000149214,올인원,109
A000000149214,선물,105
A000000149214,향,91
A000000149214,순함,76
A000000149427,순함,42
A000000149427,선물,17
A000000149427,남성 피부,14
A000000149427,향,13
A000000149427,재구매,13
A000000150214,올인원,189
A000000150214,남성 피부,156
A000000150214,순함,132
A000000150214,재구매,113
A000000150214,여드름,92
A000000151530,순함,11
A000000151530,지성,6
A000000151530,보습,5
A000000151530,끈적임 없음,5
A000000151530,가벼움,5
A000000152004,재구매,1
A000000152004,순함,1
A000000152286,순함,49
A000000152286,촉촉,35
A000000152286,보습,29
A000000152286,끈적임 없음,27
A000000152286,재구매,23
A000000154199,올인원,824
A000000154199,향,696
A000000154199,촉촉,448
A000000154199,남성 피부,403
A000000154199,빠른 흡수,374
A000000155994,재구매,214
A000000155994,올인원,130
A000000155994,남성 피부,115
A000000155994,보습,102
A000000155994,순함,92
A000000158113,재구매,19
A000000158113,올인원,12
A000000158113,남성 피부,11
A000000158113,끈적임 없음,7
A000000158113,추천템,6
A000000161279,순함,85
A000000161279,올인원,79
A000000161279,빠른 흡수,58
A000000161279,남성 피부,51
A000000161279,촉촉,49
A000000161282,순함,201
A000000161282,올인원,158
A000000161282,향,125
A000000161282,촉촉,95
A000000161282,남성 피부,94
A000000161508,순함,676
A000000161508,재구매,250
A000000161508,보습,218
A000000161508,촉촉,192
A000000161508,추천템,148
A000000161654,화이트닝,44
A000000161654,발림성,24
A000000161654,올인원,16
A000000161654,순함,16
A000000161654,에멀전 제형,12
A000000161776,올인원,410
A000000161776,남성 피부,401
A000000161776,재구매,393
A000000161776,순함,192
A000000161776,정착템,169
A000000161777,남성 피부,715
A000000161777,올인원,687
A000000161777,재구매,554
A000000161777,선물,364
A000000161777,추천템,302
A000000161778,남성 피부,404
A000000161778,올인원,393
A000000161778,재구매,349
A000000161778,순함,188
A000000161778,선물,186
A000000162054,촉촉,12
A000000162054,순함,12
A000000162054,수분,11
A000000162054,여름,10
A000000162054,보습,10
A000000162615,향,20
A000000162615,순함,18
A000000162615,미백,12
A000000162615,촉촉,11
A000000162615,빠른 흡수,11
A000000163494,순함,457
A000000163494,남성 피부,316
A000000163494,재구매,219
A000000163494,추천템,178
A000000163494,선물,164
A000000163655,순함,489
A000000163655,보습,239
A000000163655,재구매,197
A000000163655,촉촉,175
A000000163655,추천템,171
A000000164475,순함,221
A000000164475,선물,164
A000000164475,재구매,142
A000000164475,추천템,115
A000000164475,남성 피부,113
A000000164819,향,2
A000000164819,재구매,2
A000000164819,올인원,2
A000000164819,순함,2
A000000164819,추천템,1
A000000165551,향,495
A000000165551,남성 피부,367
A000000165551,선물,335
A000000165551,재구매,300
A000000165551,올인원,279
A000000165603,올인원,862
A000000165603,향,841
A000000165603,촉촉,431
A000000165603,순함,428
