product_id,product_name,brand_name,URL,image_url,regular_price,sale_price,total_review,전체 평점,main_skin_type,main_skin_trouble,main_skin_sensitivity
A000000225943,[파격특가] 아이디얼포맨 프레시 올인원 150ml 1+1 기획,아이디얼포맨,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225943&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022594313ko.jpg?l=ko,26000.0,8900,1349,,복합성에 좋아요,보습에 좋아요,자극없이 순해요
A000000206352,[화잘먹로션] [속광케어] 온그리디언츠 스킨 베리어 카밍 로션 기획(220ml+80ml),온그리디언츠,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206352&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020635215ko.png?l=ko,39900.0,33900,9520,,건성에 좋아요,보습에 좋아요,자극없이 순해요
A000000228228,[올영맨즈1등템]아이디얼포맨 퍼펙트 올인원 150ml 기획 4종,아이디얼포맨,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000228228&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022822813ko.jpg?l=ko,28000.0,18800,978,,복합성에 좋아요,보습에 좋아요,자극없이 순해요
A000000198321,에스트라 아토베리어365 로션 150ml,에스트라,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198321&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019832102ko.jpg?l=ko,,33000,1661,,건성에 좋아요,보습에 좋아요,자극없이 순해요
A000000137488,비오템 옴므 아쿠아파워 올인원 세트 (클렌저 40ml+올인원 20ml),비오템,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000137488&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0013/A00000013748820ko.jpg?l=ko,56000.0,39200,594,,복합성에 좋아요,보습에 좋아요,자극없이 순해요
A000000006564,우르오스 올인원 스킨로션 200ml,우르오스,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000006564&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0000/A00000000656415ko.jpg?l=ko,29700.0,22900,3036,,복합성에 좋아요,보습에 좋아요,자극없이 순해요
A000000209904,[8월 올영픽] 제로이드 수딩 로션 160ml,제로이드,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209904&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020990409ko.jpg?l=ko,30000.0,24000,852,,복합성에 좋아요,보습에 좋아요,자극없이 순해요
A000000145576,[저자극] 라운드랩 1025 독도 로션 200ml 기획 (+50ml),라운드랩,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000145576&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0014/A00000014557626ko.jpg?l=ko,20000.0,17900,6021,,복합성에 좋아요,보습에 좋아요,자극없이 순해요
A000000223781,[리뉴얼/트러블/면도후] 닥터지 레드 블레미쉬 포 맨 진정 올인원 150ml 2종 택 1 (단품/증정 기획),닥터지,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223781&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022378112ko.jpg?l=ko,32000.0,21900,2750,,복합성에 좋아요,진정에 좋아요,자극없이 순해요
A000000230522,[8월 올영픽/1+1/단독기획] 토리든 다이브인 포맨 저분자 히알루론산 올인원 200g 더블 기획,토리든,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230522&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023052205ko.jpg?l=ko,38000.0,28100,1681,,복합성에 좋아요,보습에 좋아요,자극없이 순해요
